text,label
What color is the rash?,on_topic
Have you noticed a high pitched sound when breathing in?,on_topic
Do you feel lightheaded and dizzy or do you feel like you are about to faint?,on_topic
Where is the swelling located?,on_topic
Do you have a hard time opening/raising one or both eyelids?,on_topic
Do you have diabetes?,on_topic
Are you immunosuppressed?,on_topic
Do you currently undergo dialysis?,on_topic
Is your nose or the back of your throat itchy?,on_topic
"Have you noticed that the tone of your voice has become deeper, softer or hoarse?",on_topic
Have you ever had a spontaneous pneumothorax?,on_topic
Do you suffer from Crohn’s disease or ulcerative colitis (UC)?,on_topic
"In the last month, have you been in contact with anyone infected with the Ebola virus?",on_topic
How fast did the pain appear?,on_topic
Do you have trouble keeping your tongue in your mouth?,on_topic
Have you been in contact with or ate something that you have an allergy to?,on_topic
Do you have a poor diet?,on_topic
Do you have family members who have had lung cancer?,on_topic
Are you unable to control the direction of your eyes?,on_topic
Do you have liver cirrhosis?,on_topic
Did you have your first menstrual period before the age of 12?,on_topic
Do you have a decrease in appetite?,on_topic
Have you ever had a stroke?,on_topic
Do you have a problem with poor circulation?,on_topic
Have you been coughing up blood?,on_topic
Have you had chills or shivers?,on_topic
How severe is the itching?,on_topic
Have you vomited several times or have you made several efforts to vomit?,on_topic
Have you recently taken decongestants or other substances that may have stimulant effects?,on_topic
Have you ever had a sexually transmitted infection?,on_topic
Have any of your family members been diagnosed with cluster headaches?,on_topic
Do you take corticosteroids?,on_topic
Have you lost your sense of smell?,on_topic
Have you ever felt like you were suffocating for a very short time associated with inability to breathe or speak?,on_topic
Do you currently take hormones?,on_topic
Have you started or taken any antipsychotic medication within the last 7 days?,on_topic
Do you ever temporarily stop breathing while you’re asleep?,on_topic
Do you drink alcohol excessively or do you have an addiction to alcohol?,on_topic
Do you have a sore throat?,on_topic
Do you have chronic kidney failure?,on_topic
Are you currently being treated or have you recently been treated with an oral antibiotic for an ear infection?,on_topic
How intense is the pain caused by the rash?,on_topic
Do you have asthma or have you ever had to use a bronchodilator in the past?,on_topic
Do you regularly drink coffee or tea?,on_topic
Are your vaccinations up to date?,on_topic
Do you have a known issue with one of your heart valves?,on_topic
Did you vomit after coughing?,on_topic
Do you have nasal congestion or a clear runny nose?,on_topic
Are you more irritable or has your mood been very unstable recently?,on_topic
Have you noticed light red blood or blood clots in your stool?,on_topic
Do you feel slightly dizzy or lightheaded?,on_topic
Have you noticed a wheezing sound when you exhale?,on_topic
Do you have any family members who have asthma?,on_topic
Do you have difficulty articulating words/speaking?,on_topic
Have you ever had pneumonia?,on_topic
Do you have chest pain even at rest?,on_topic
Have you breastfed one of your children for more than 9 months?,on_topic
Do you have high blood pressure or do you take medications to treat high blood pressure?,on_topic
Do you work in agriculture?,on_topic
Do you have a deviated nasal septum?,on_topic
How precisely is the pain located?,on_topic
Do you take a calcium channel blockers (medication)?,on_topic
Do you have pain that is increased with movement?,on_topic
Do you have close family members who had a cardiovascular disease problem before the age of 50?,on_topic
Do your symptoms of muscle weakness increase with fatigue and/or stress?,on_topic
"Do you currently, or did you ever, have numbness, loss of sensitivity or tingling anywhere on your body?",on_topic
Do you feel pain somewhere?,on_topic
Do any members of your immediate family have a psychiatric illness?,on_topic
Have you had unprotected sex with more than one partner in the last 6 months?,on_topic
Have you ever had a heart attack or do you have angina (chest pain)?,on_topic
Do you live in the suburbs?,on_topic
Are you more likely to develop common allergies than the general population?,on_topic
Have you traveled out of the country in the last 4 weeks?,on_topic
How intense is the pain?,on_topic
Are you infected with the human immunodeficiency virus (HIV)?,on_topic
Do you feel like you are (or were) choking or suffocating?,on_topic
Have you ever had fluid in your lungs?,on_topic
Have you been diagnosed with hyperthyroidism?,on_topic
"Have you had weakness or paralysis on one side of the face, which may still be present or completely resolved?",on_topic
Do you have an active cancer?,on_topic
Do you feel so tired that you are unable to do your usual activities or are you stuck in your bed all day long?,on_topic
Did you lose consciousness?,on_topic
Are you taking any new oral anticoagulants ((NOACs)?,on_topic
Do you have a known severe food allergy?,on_topic
"Have you recently had numbness, loss of sensation or tingling, in both arms and legs and around your mouth?",on_topic
Are you a former smoker?,on_topic
Have you gained weight recently?,on_topic
Does your mother suffer from asthma?,on_topic
Does the person have a whooping cough?,on_topic
Do you have severe itching in one or both eyes?,on_topic
Do you live in a rural area?,on_topic
Have you felt confused or disorientated lately?,on_topic
Do you have pain that is increased when you breathe in deeply?,on_topic
Have you been in contact with someone who has had pertussis (whoooping cough)?,on_topic
Characterize your pain:,on_topic
Do your lesions peel off?,on_topic
Are there any members of your family who have been diagnosed myasthenia gravis?,on_topic
"Do you have any lesions, redness or problems on your skin that you believe are related to the condition you are consulting for?",on_topic
Are you feeling nauseous or do you feel like vomiting?,on_topic
Have you had any vaginal discharge?,on_topic
Do you have pale stools and dark urine?,on_topic
"Is your BMI less than 18.5, or are you underweight?",on_topic
Are your symptoms more prominent at night?,on_topic
Are you currently taking or have you recently taken anti-inflammatory drugs (NSAIDs)?,on_topic
Are you experiencing shortness of breath or difficulty breathing in a significant way?,on_topic
Do you have a cough that produces colored or more abundant sputum than usual?,on_topic
Do you attend or work in a daycare?,on_topic
Have you had sexual intercourse with an HIV-positive partner in the past 12 months?,on_topic
Do you work in the mining sector?,on_topic
Have you ever been diagnosed with depression?,on_topic
Do you regularly take stimulant drugs?,on_topic
Do you have greenish or yellowish nasal discharge?,on_topic
Have you ever had a diagnosis of anemia?,on_topic
Do you have cystic fibrosis?,on_topic
Did your cheeks suddenly turn red?,on_topic
Is your skin much paler than usual?,on_topic
Do you suffer from chronic anxiety?,on_topic
Have you ever been diagnosed with gastroesophageal reflux?,on_topic
"Do you have a burning sensation that starts in your stomach then goes up into your throat, and can be associated with a bitter taste in your mouth?",on_topic
Do you have metastatic cancer?,on_topic
"Do you exercise regularly, 4 times per week or more?",on_topic
Do you live with 4 or more people?,on_topic
"Do you have numbness, loss of sensation or tingling in the feet?",on_topic
Do you feel your abdomen is bloated or distended (swollen due to pressure from inside)?,on_topic
Have you noticed that you produce more saliva than usual?,on_topic
Do you have any family members who have been diagnosed with anemia?,on_topic
Do you have intense coughing fits?,on_topic
Do you have polyps in your nose?,on_topic
Have you recently had a loss of appetite or do you get full more quickly then usually?,on_topic
Do you have bouts of choking or shortness of breath that wake you up at night?,on_topic
Have you had a cold in the last 2 weeks?,on_topic
Have you recently thrown up blood or something resembling coffee beans?,on_topic
Do you have very abundant or very long menstruation periods?,on_topic
Have you ever been diagnosed with obstructive sleep apnea (OSA)?,on_topic
Do you have symptoms that are increased with physical exertion but alleviated with rest?,on_topic
Do you have the perception of seeing two images of a single object seen overlapping or adjacent to each other (double vision)?,on_topic
Have you been unintentionally losing weight or have you lost your appetite?,on_topic
Have you been hospitalized for an asthma attack in the past year?,on_topic
"Do you have annoying muscle spasms in your face, neck or any other part of your body?",on_topic
Are you being treated for osteoporosis?,on_topic
Do you feel that your eyes produce excessive tears?,on_topic
"Have you noticed any new fatigue, generalized and vague discomfort, diffuse (widespread) muscle aches or a change in your general well-being related to your consultation today?",on_topic
